product_name,product_url,price,matrix,processor,core,ram,ssd,card
"15.6"" Ультрабук HP Pavilion 15-cw1037ur серебристый",https://www.dns-shop.ru/product/04df0ab1796d3332/156-ultrabuk-hp-pavilion-15-cw1037ur-serebristyj/,44999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
"14"" Ультрабук HP 14s-dq1019ur серебристый",https://www.dns-shop.ru/product/7934db3bd4571b80/14-ultrabuk-hp-14s-dq1019ur-serebristyj/,44999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"13.3"" Ультрабук ASUS VivoBook S13 S330FA-EY005T серебристый",https://www.dns-shop.ru/product/8f9b8c1aceb93332/133-ultrabuk-asus-vivobook-s13-s330fa-ey005t-serebristyj/,44999,IPS,Intel Core i5 8265U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Lenovo IdeaPad C340-14IWL черный",https://www.dns-shop.ru/product/bf38c2ffd4f51b80/14-ultrabuk-lenovo-ideapad-c340-14iwl-cernyj/,47999,IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 4 ГБ,SSD 512 ГБ,Intel UHD Graphics 620 
"15.6"" Ультрабук HP Pavilion 15-cw1034ur синий",https://www.dns-shop.ru/product/09e4312a796b3332/156-ultrabuk-hp-pavilion-15-cw1034ur-sinij/,47999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
"14"" Ультрабук Huawei MateBook D 14 Nbl-WAQ9R серый",https://www.dns-shop.ru/product/542dd7193d9c1b80/14-ultrabuk-huawei-matebook-d-14-nbl-waq9r-seryj/,47999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
"14"" Ультрабук Acer Swift 3 SF314-41-R4D7 серебристый",https://www.dns-shop.ru/product/a2034e088ab93332/14-ultrabuk-acer-swift-3-sf314-41-r4d7-serebristyj/,47999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 12 ГБ,SSD 512 ГБ,Radeon Vega 8 
"14"" Ультрабук MSI Modern 14 A10M-815RU серый",https://www.dns-shop.ru/product/85ae641b10f21b80/14-ultrabuk-msi-modern-14-a10m-815ru-seryj/,46999,IPS,Intel Core i3 10110U,2 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук Acer Swift 3 SF314-58-37KE серебристый",https://www.dns-shop.ru/product/6735170e69a53332/14-ultrabuk-acer-swift-3-sf314-58-37ke-serebristyj/,46499,IPS,Intel Core i3 10110U,2 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Acer Swift 3 SF314-41-R7GB серебристый",https://www.dns-shop.ru/product/7b47cd04d4fe1b80/14-ultrabuk-acer-swift-3-sf314-41-r7gb-serebristyj/,45999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
